Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,8,HESCOM,KAR,hubli,12,0,12807,0,0.013
India,2023-24,2023,9,HESCOM,KAR,hubli,22,0,11790,0,0.012
India,2023-24,2023,9,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",70,0,22216,0,0.022
India,2023-24,2023,9,NBPDCL,BIHAR,patna,204,0,32693,0,0.033
India,2023-24,2023,9,GESCOM,KAR,kalaburgi,1,0,1498,0,0.001
India,2023-24,2023,9,DGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",53,13,48121,1615706,1.664
India,2023-24,2023,9,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",70,0,22216,0,0.022
India,2023-24,2023,9,Tata Power-DDL,DELHI,new delhi,639,5,3220000,810000,4.03
India,2023-24,2023,9,MPMKVVCL,MP,"bhopal city, gwalior city, betul, guna, harda, itarsi, narmadapuram, bareli, raisen, narsinghgarh, zeerapur, ashta, vidisha",97,1,25358,218128,0.243
India,2023-24,2023,9,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",25,3,61807,469488,0.531
India,2023-24,2023,9,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",67,2,5612,80109,0.086
India,2023-24,2023,9,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",70,0,22216,0,0.022
India,2023-24,2023,9,SBPDCL,BIHAR,patna,263,2,276586,218701,0.495
India,2023-24,2023,9,TANGEDCO,TN,"coimbatore, villupuram, tirunelveli, chennai north, vellore",138,0,690454,0,0.69
India,2023-24,2023,9,TPCODL,ORISSA,"bhubaneswar, puri, khordha & paradeep",17,0,3590,0,0.004
India,2023-24,2023,8,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",276,5,144612,31300,0.176
India,2023-24,2023,8,NBPDCL,BIHAR,patna,194,0,26893,0,0.027
India,2023-24,2023,8,SBPDCL,BIHAR,patna,223,2,277174,225321,0.502
India,2023-24,2023,8,DVC,JHARKHAND,"maithon, dhanbad",,0,3590,0,0
India,2023-24,2023,8,CESC,WB,kolkata,12,11,2098,244605,0.247
India,2023-24,2023,8,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",99,9,221296,19714,0.241
India,2023-24,2023,1,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),17,10,37699,1656478,1.694
India,2023-24,2023,1,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",63,0,5037,0,0.005
India,2023-24,2023,1,BYPL,DELHI,new delhi,994,2,1761898,613200,2.375
India,2023-24,2023,1,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",12,0,2767,0,0.003
India,2023-24,2023,1,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",53,3,94498,27821,0.122
India,2023-24,2023,1,SBPDCL,BIHAR,patna,78,0,6000,0,0.006
India,2023-24,2023,1,Torrent Power,GUJ,ahemdabad,10,6,4612,1452970,1.458
India,2022-23,2022,4,TANGEDCO,TN,"coimbatore, villupuram, tirunelveli, chennai north, vellore",30,0,53523,0,0.054
India,2022-23,2022,4,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",48,4,1,133796,0.134
India,2022-23,2022,4,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",33,0,6101,0,0.006
India,2022-23,2022,4,DGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",6,1,11717,351820,0.364
India,2022-23,2022,4,DVC,JHARKHAND,"maithon, dhanbad",1,0,0,0,0
India,2022-23,2022,4,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",2,0,1389,0,0.001
India,2022-23,2022,4,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",11,0,2059,0,0.002
India,2022-23,2022,4,CESC,WB,kolkata,5,11,311,271576,0.272
India,2022-23,2022,4,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",0,0,0,0,0
India,2022-23,2022,4,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",10,2,20226,28839,0.049
India,2022-23,2022,4,BYPL,DELHI,new delhi,941,1,1366776,186150,1.553
India,2022-23,2022,4,BRPL,DELHI,new delhi,1143,1,2513071,3660,2.517
India,2022-23,2022,4,Torrent Power,GUJ,ahemdabad,7,4,15772,1481070,1.497
India,2022-23,2022,4,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),11,10,29890,1309720,1.34
India,2022-23,2022,4,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",6,0,2498,0,0.002
India,2022-23,2022,4,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",8,0,90,0,0
India,2022-23,2022,4,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",10,0,11526,0,0.012
