Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","AVVNL, Raj.",Ajmer,,,0,17127,0,0.000
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","APSPDCL, AP","Anantpur, Kadapa, Kurnool, Nellore, Tirupati",,31,8,15149,1269144,1.284
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendrav aram, West Godavari, Srikakulam, Vizianagaram etc.",,75,0,29338,0,0.029
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","APDCL, Assam","Badarpur, Karimganj,kokr ajhar, Nagaon, Silchar, Guwahati, Tezpur",,,10,219564,19433,0.000
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",UT Chandigarh,Chandigarh,,,7,80946,670686,0.000
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","UHBVN, Haryana","Panchkula, Karnal, Kaithal, Sonipat, Ambala, Kurukshetra",,24,0,42792,0,0.043
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","UGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,53,13,51912,1592639,1.645
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar, Rangpur",,33,0,21119,0,0.021
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","Torrent Power, Guj.",Ahemdabad,,33,8,19193,1473998,1.493
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","Tata Power- DDL, Delhi",New Delhi,,725,6,3160000,4520000,7.680
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","TSSPDCL, Tng.",Hyderabad,,,9,90000,320000,0.000
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","TSNPDCL, Tng.","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,190,0,1056146,0,1.056
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","TSNPDCL, Tng.","Adilabad, Hanamkonda, Kamareddy, Karimnagar, Khammam, Mahabubaba d, Nirmal, Nazimabad, Pdeapally, Warangal",,36,0,12780,0,0.013
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","SBPDCL, Bihar",Patna,,352,2,290230,177640,0.468
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","SBPDCL, Bihar","Bhubaneswar, Puri, Khordha & Paradeep",,,0,3590,0,0.000
